,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
80,Robin Lopez,48.5,2009-10,2022-23,21-34,916,598,0,22.1,3.7,6.9,3.7,6.7,0.1,0.2,1.4,1.8,2.3,2.7,5.0,0.9,0.2,1.1,1.1,1.9,8.9,.538,.545,.301,.745,.574,.542,C,CHICLEMILNOHNYKORLPHOPORWAS,lopezro01
81,Marvin Williams,48.2,2009-10,2019-20,23-33,788,619,0,26.9,3.4,7.7,2.2,4.4,1.2,3.3,1.4,1.7,1.1,4.0,5.1,1.2,0.7,0.6,0.8,1.8,9.4,.439,.494,.367,.814,.555,.519,F,ATLCHOMILUTA,willima02
82,Ersan İlyasova,47.8,2009-10,2020-21,22-33,759,410,0,23.7,3.9,8.8,2.8,5.8,1.1,3.0,1.5,2.0,1.8,4.1,5.9,1.1,0.7,0.4,1.0,2.4,10.5,.446,.487,.367,.776,.542,.508,F,ATLDETMILOKCORLPHIUTA,ilyaser01
83,Deron Williams,47.7,2009-10,2016-17,25-32,535,494,3,33.7,5.6,13.0,4.0,8.6,1.6,4.5,3.6,4.3,0.4,2.8,3.2,7.7,1.1,0.2,2.8,2.5,16.4,.432,.471,.357,.835,.550,.493,G,BRKCLEDALNJNUTA,willide01
84,Jeff Green,47.6,2009-10,2022-23,23-36,949,520,0,27.8,4.4,9.7,3.3,6.6,1.1,3.2,2.4,2.9,0.8,3.2,3.9,1.5,0.6,0.5,1.3,2.1,12.2,.452,.508,.335,.810,.554,.506,F,BOSBRKCLEDENHOULACMEMOKCORLUTAWAS,greenje02
85,Tristan Thompson,47.6,2011-12,2021-22,20-30,730,478,0,26.8,3.6,7.0,3.6,7.0,0.0,0.1,1.7,2.9,3.3,5.1,8.4,1.0,0.5,0.7,1.1,2.3,9.0,.519,.521,.263,.605,.545,.520,F-C,BOSCHICLEINDSAC,thomptr01
86,Domantas Sabonis,47.2,2016-17,2022-23,20-26,494,354,3,29.4,5.9,10.7,5.5,9.4,0.4,1.3,2.9,4.0,2.4,7.3,9.7,4.2,0.8,0.5,2.4,3.1,15.1,.548,.579,.326,.731,.605,.568,C-F,INDOKCSAC,sabondo01
87,DeMarcus Cousins,46.8,2010-11,2021-22,20-31,654,561,4,29.8,7.0,15.2,6.3,13.2,0.7,2.0,5.0,6.7,2.6,7.6,10.2,3.0,1.3,1.1,3.3,3.7,19.6,.460,.479,.331,.737,.539,.481,C-F,DENGSWHOULACMILNOPSAC,couside01
88,Al Jefferson,46.7,2009-10,2017-18,25-33,584,451,0,29.3,7.1,14.2,7.0,14.1,0.0,0.1,2.0,2.8,1.9,6.4,8.3,1.7,0.7,1.2,1.2,2.4,16.1,.496,.498,.163,.722,.522,.497,C-F,CHACHOINDMINUTA,jeffeal01
89,Manu Ginóbili,46.6,2009-10,2017-18,32-40,579,110,1,23.5,4.0,9.2,2.6,5.2,1.4,3.9,2.6,3.1,0.5,2.5,3.0,4.0,1.1,0.3,1.9,1.9,12.1,.440,.498,.363,.834,.574,.518,G,SAS,ginobma01
90,Eric Bledsoe,46.1,2010-11,2021-22,21-32,756,568,0,27.8,4.9,10.8,3.8,7.4,1.1,3.4,2.8,3.6,0.8,3.1,3.9,4.7,1.4,0.5,2.5,2.0,13.7,.452,.504,.336,.784,.553,.504,G,LACMILNOPPHO,bledser01
91,Luol Deng,46.0,2009-10,2018-19,24-33,569,540,2,34.8,5.4,12.2,4.4,9.2,1.0,3.1,2.6,3.4,1.5,4.4,5.9,2.3,1.0,0.5,1.6,1.6,14.5,.444,.478,.339,.771,.528,.486,F,CHICLELALMIAMIN,denglu01
92,Paul Pierce,45.7,2009-10,2016-17,32-39,530,475,3,29.0,4.9,10.8,3.4,6.8,1.5,4.0,3.5,4.2,0.5,4.1,4.6,2.9,0.9,0.4,2.0,2.5,14.7,.451,.496,.373,.830,.582,.520,F-G,BOSBRKLACWAS,piercpa01
93,Jayson Tatum,45.5,2017-18,2022-23,19-24,439,439,4,34.0,7.9,17.2,5.4,10.7,2.4,6.5,4.3,5.1,0.9,6.1,7.0,3.3,1.1,0.7,2.3,2.1,22.5,.458,.509,.375,.847,.579,.529,F,BOS,tatumja01
94,Isaiah Thomas,45.3,2011-12,2021-22,22-32,550,362,2,28.3,5.8,13.3,3.9,8.0,1.9,5.2,4.3,4.9,0.5,1.9,2.4,4.8,0.9,0.1,2.3,2.1,17.7,.434,.481,.362,.872,.573,.506,G,BOSCHOCLEDALDENLALNOPPHOSACWAS,thomais02
95,CJ McCollum,44.6,2013-14,2022-23,22-31,665,568,0,32.0,7.4,16.4,5.1,10.4,2.4,6.0,2.2,2.7,0.6,2.9,3.6,3.7,0.9,0.4,1.8,2.1,19.4,.453,.486,.395,.804,.552,.525,G,NOPPOR,mccolcj01
96,John Wall,44.5,2010-11,2022-23,20-32,647,604,5,34.9,6.8,15.7,5.8,12.6,1.0,3.1,4.2,5.4,0.6,3.6,4.2,8.9,1.6,0.7,3.7,2.2,18.7,.430,.457,.322,.776,.517,.462,G,HOULACWAS,walljo01
97,Jarrett Allen,44.4,2017-18,2022-23,19-24,409,344,1,27.6,4.7,7.5,4.7,7.3,0.0,0.3,2.5,3.5,2.8,6.0,8.9,1.4,0.6,1.3,1.3,2.1,12.0,.630,.645,.181,.704,.661,.633,C-F,BRKCLE,allenja01
98,Ryan Anderson,44.3,2009-10,2019-20,21-31,583,259,0,26.5,4.5,10.5,2.3,4.8,2.2,5.7,1.8,2.1,2.0,3.4,5.3,0.9,0.5,0.3,0.9,1.9,12.9,.424,.474,.380,.854,.563,.526,F,HOUMIANOHNOPORLPHO,anderry01
99,Nenê,44.2,2009-10,2018-19,27-36,595,359,0,24.6,4.3,7.9,4.3,7.8,0.0,0.1,2.5,3.8,1.4,4.2,5.7,1.9,1.0,0.7,1.6,2.8,11.2,.549,.552,.154,.658,.584,.550,F-C,DENHOUWAS,hilarne01
100,Ed Davis,43.3,2010-11,2021-22,21-32,722,106,0,19.1,2.5,4.3,2.5,4.3,0.0,0.0,1.0,1.8,2.2,4.2,6.4,0.7,0.5,0.8,0.7,2.4,5.9,.567,.568,.000,.583,.581,.567,F,BRKCLELALMEMMINPORTORUTA,davised01
101,Dwight Powell,43.1,2014-15,2022-23,23-31,587,243,0,19.0,2.8,4.7,2.6,4.0,0.2,0.7,1.7,2.3,1.6,2.9,4.5,1.0,0.6,0.5,0.7,2.3,7.6,.599,.654,.292,.741,.661,.621,F-C,BOSDAL,poweldw01
102,Montrezl Harrell,42.9,2015-16,2022-23,22-29,515,36,0,20.5,4.9,7.9,4.8,7.7,0.0,0.2,2.3,3.5,1.8,3.2,5.0,1.3,0.5,0.8,1.1,2.1,12.1,.619,.629,.108,.664,.642,.620,F-C,CHOHOULACLALPHIWAS,harremo01
103,Bam Adebayo,42.8,2017-18,2022-23,20-25,418,314,2,29.3,5.6,10.2,5.6,10.0,0.0,0.1,3.4,4.5,2.2,6.3,8.5,3.4,1.0,0.9,2.1,2.5,14.7,.554,.560,.129,.755,.604,.555,C-F,MIA,adebaba01
104,D.J. Augustin,42.6,2009-10,2021-22,22-34,904,322,0,23.2,3.0,7.4,1.7,4.0,1.3,3.4,2.0,2.3,0.3,1.5,1.8,3.9,0.6,0.0,1.4,1.3,9.3,.410,.439,.377,.864,.556,.497,G,CHACHIDENDETHOUINDLALMILOKCORLTOR,augusdj01
105,P.J. Tucker,42.4,2012-13,2022-23,27-37,835,656,0,29.2,2.5,5.9,1.5,3.1,1.0,2.8,0.9,1.1,1.5,4.1,5.6,1.4,1.1,0.3,1.0,2.5,6.9,.425,.479,.366,.752,.539,.512,F,HOUMIAMILPHIPHOTOR,tuckepj01
106,Ricky Rubio,42.3,2011-12,2022-23,21-32,698,603,0,29.6,3.5,9.1,2.6,6.3,0.9,2.8,2.9,3.4,0.6,3.4,4.1,7.4,1.8,0.1,2.5,2.5,10.8,.388,.417,.324,.843,.511,.438,G,CLEMINPHOUTA,rubiori01
107,Rajon Rondo,42.3,2009-10,2021-22,23-35,722,551,4,30.2,4.1,9.1,3.5,7.3,0.6,1.8,1.0,1.7,0.9,3.7,4.6,8.6,1.5,0.1,2.9,2.0,9.8,.449,.479,.328,.599,.496,.482,G,ATLBOSCHICLEDALLACLALNOPSAC,rondora01
108,Ty Lawson,42.1,2009-10,2016-17,22-29,551,344,0,29.2,4.5,9.8,3.7,7.5,0.9,2.4,2.7,3.6,0.6,2.1,2.7,6.0,1.2,0.1,2.1,1.6,12.7,.460,.493,.359,.770,.555,.504,G,DENHOUINDSAC,lawsoty01
109,Jae Crowder,41.3,2012-13,2022-23,22-32,753,409,0,25.1,3.3,7.8,1.7,3.4,1.6,4.5,1.4,1.8,0.7,3.6,4.3,1.6,1.0,0.3,0.9,2.1,9.5,.418,.512,.348,.778,.552,.517,F,BOSCLEDALMEMMIAMILPHOUTA,crowdja01
110,Pascal Siakam,41.0,2016-17,2022-23,22-28,471,377,2,30.6,6.5,13.2,5.4,10.1,1.0,3.1,3.1,4.0,1.5,5.1,6.5,3.5,0.9,0.7,1.9,2.8,17.0,.487,.537,.327,.774,.567,.526,F-C,TOR,siakapa01
111,JaVale McGee,41.0,2009-10,2022-23,22-35,788,329,0,16.7,3.4,5.8,3.4,5.7,0.0,0.1,1.1,1.8,1.9,3.4,5.3,0.4,0.4,1.5,1.0,2.2,7.9,.585,.591,.197,.598,.598,.586,C,CLEDALDENGSWLALPHIPHOWAS,mcgeeja01
112,Joe Johnson,40.6,2009-10,2021-22,28-40,654,538,4,32.6,5.7,12.9,4.1,8.6,1.6,4.3,1.9,2.3,0.7,3.1,3.7,3.4,0.7,0.1,1.6,1.5,14.8,.442,.479,.368,.821,.535,.504,G-F,ATLBOSBRKHOUMIAUTA,johnsjo02
113,Kelly Olynyk,39.6,2013-14,2022-23,22-31,678,234,0,22.6,3.7,7.7,2.5,4.4,1.2,3.3,1.7,2.2,1.2,4.0,5.2,2.2,0.8,0.5,1.6,2.8,10.3,.478,.561,.368,.794,.595,.557,C-F,BOSDETHOUMIAUTA,olynyke01
114,Julius Randle,39.5,2014-15,2022-23,20-28,595,515,2,31.7,6.8,14.5,5.7,11.1,1.1,3.3,4.0,5.3,2.0,7.4,9.4,3.6,0.7,0.4,2.8,3.1,18.7,.470,.510,.336,.745,.556,.509,F-C,LALNOPNYK,randlju01
115,Joe Ingles,39.4,2014-15,2022-23,27-35,636,313,0,25.5,3.0,6.7,1.2,2.3,1.8,4.4,0.7,0.9,0.3,2.9,3.2,3.7,0.9,0.2,1.5,1.8,8.5,.449,.527,.408,.771,.600,.584,F-G,MILUTA,inglejo01
116,Derrick Rose,39.4,2009-10,2022-23,21-34,618,431,3,30.2,6.9,15.3,6.0,12.4,0.9,2.8,3.1,3.7,0.7,2.4,3.2,5.1,0.7,0.4,2.4,1.2,17.8,.453,.484,.319,.836,.528,.483,G,CHICLEDETMINNYK,rosede01
117,Luka Dončić,39.2,2018-19,2022-23,19-23,330,330,4,34.3,9.4,20.1,6.6,11.9,2.8,8.2,6.0,8.2,1.0,7.6,8.6,8.0,1.1,0.4,4.0,2.3,27.6,.466,.554,.338,.739,.581,.535,G-F,DAL,doncilu01
118,Kentavious Caldwell-Pope,39.1,2013-14,2022-23,20-29,759,617,0,29.5,4.1,9.7,2.4,5.0,1.7,4.7,1.6,1.9,0.6,2.5,3.1,1.8,1.1,0.2,1.0,1.8,11.5,.424,.479,.365,.814,.546,.512,G,DENDETLALWAS,caldwke01
119,Kenneth Faried,38.8,2011-12,2018-19,22-29,478,385,0,24.5,4.6,8.4,4.6,8.3,0.0,0.1,2.2,3.3,3.1,5.1,8.1,1.0,0.7,0.8,1.3,2.5,11.4,.546,.550,.222,.654,.577,.548,F-C,BRKDENHOU,farieke01
120,Marcus Morris,38.3,2011-12,2022-23,22-33,783,502,0,27.2,4.5,10.4,2.9,6.1,1.6,4.3,1.7,2.2,0.9,3.7,4.5,1.5,0.7,0.3,1.2,2.2,12.3,.434,.475,.376,.773,.543,.512,F,BOSDETHOULACNYKPHO,morrima03
121,Myles Turner,38.2,2015-16,2022-23,19-26,493,460,0,28.8,5.0,10.1,4.0,7.3,1.0,2.8,2.4,3.1,1.4,5.4,6.8,1.2,0.7,2.3,1.4,3.0,13.4,.498,.553,.353,.771,.586,.546,C-F,IND,turnemy01
122,Donovan Mitchell,37.9,2017-18,2022-23,21-26,413,405,4,34.1,8.8,19.6,5.9,11.6,2.9,8.0,4.1,4.9,0.8,3.4,4.2,4.5,1.3,0.3,2.8,2.5,24.6,.448,.505,.365,.839,.565,.522,G,CLEUTA,mitchdo01
123,Patrick Beverley,37.5,2012-13,2022-23,24-34,593,505,0,27.4,3.0,7.2,1.4,3.1,1.5,4.1,1.0,1.4,1.1,3.1,4.2,3.4,1.1,0.5,1.2,3.1,8.5,.413,.464,.373,.754,.545,.519,G,CHIHOULACLALMIN,beverpa01
124,Jared Dudley,37.3,2009-10,2020-21,24-35,763,265,0,23.0,2.8,6.0,1.7,3.2,1.1,2.8,1.0,1.4,0.8,2.3,3.1,1.6,0.8,0.2,0.9,1.8,7.7,.462,.520,.396,.737,.581,.555,F-G,BRKLACLALMILPHOWAS,dudleja01
125,Bojan Bogdanović,36.5,2014-15,2022-23,25-33,662,545,0,29.3,5.4,11.7,3.3,6.4,2.1,5.3,2.7,3.2,0.5,3.1,3.6,1.7,0.6,0.1,1.7,1.6,15.6,.460,.515,.394,.865,.595,.549,G-F,BRKDETINDUTAWAS,bogdabo02
126,Otto Porter Jr.,36.5,2013-14,2022-23,20-29,512,318,0,25.8,4.1,8.5,2.7,5.2,1.3,3.3,1.1,1.4,1.2,3.9,5.0,1.5,1.1,0.4,0.8,1.8,10.5,.478,.529,.397,.797,.578,.555,F,CHIGSWORLTORWAS,porteot01
127,Kobe Bryant,36.2,2009-10,2015-16,31-37,398,398,7,35.4,8.7,20.2,7.1,15.1,1.6,5.1,5.7,6.9,0.9,4.2,5.1,4.8,1.3,0.2,3.2,2.1,24.7,.431,.472,.309,.829,.531,.470,G-F,LAL,bryanko01
128,Devin Booker,35.9,2015-16,2022-23,19-26,530,505,3,33.8,8.4,18.2,6.3,12.5,2.1,5.8,5.1,5.9,0.6,3.4,4.0,4.8,0.8,0.3,3.1,3.0,23.9,.461,.509,.356,.868,.575,.517,G,PHO,bookede01
129,Zaza Pachulia,35.8,2009-10,2018-19,25-34,676,354,0,19.7,2.2,4.7,2.2,4.7,0.0,0.0,1.7,2.2,2.1,3.7,5.9,1.5,0.7,0.3,1.2,2.3,6.2,.478,.481,.000,.765,.545,.478,C,ATLDALDETGSWMIL,pachuza01
130,Patty Mills,35.7,2009-10,2022-23,21-34,860,107,0,20.4,3.2,7.6,1.5,3.1,1.7,4.5,0.8,1.0,0.3,1.4,1.7,2.3,0.6,0.1,1.0,1.3,9.0,.426,.479,.389,.854,.564,.540,G,BRKPORSAS,millspa02
131,Aaron Gordon,35.6,2014-15,2022-23,19-27,596,507,0,29.1,5.1,10.8,4.0,7.4,1.1,3.3,2.1,3.1,1.7,4.6,6.3,2.5,0.7,0.6,1.5,2.0,13.4,.472,.539,.325,.686,.552,.523,F,DENORL,gordoaa01
132,Amar'e Stoudemire,35.3,2009-10,2015-16,27-33,412,279,2,27.7,6.4,12.0,6.3,11.8,0.0,0.1,3.8,5.0,2.1,4.5,6.7,1.1,0.6,1.0,2.0,2.9,16.6,.532,.535,.296,.770,.587,.534,F-C,DALMIANYKPHO,stoudam01
133,Courtney Lee,34.9,2009-10,2019-20,24-34,734,476,0,27.2,3.7,8.2,2.6,5.4,1.1,2.8,1.2,1.4,0.5,2.2,2.7,1.7,1.0,0.3,0.9,1.6,9.7,.451,.485,.386,.855,.549,.517,G,BOSCHODALHOUMEMNJNNYK,leeco01
134,Jakob Poeltl,34.9,2016-17,2022-23,21-27,488,235,0,21.1,3.6,5.7,3.6,5.7,0.0,0.0,0.9,1.7,2.6,3.9,6.5,1.6,0.6,1.3,1.1,2.4,8.1,.628,.628,.500,.536,.626,.628,C,SASTOR,poeltja01
135,Kristaps Porziņģis,34.8,2015-16,2022-23,20-27,402,401,1,31.1,6.9,15.3,5.1,10.2,1.8,5.1,3.9,4.7,1.7,6.2,7.9,1.8,0.7,1.8,1.7,3.0,19.6,.453,.500,.359,.827,.563,.512,F-C,DALNYKWAS,porzikr01
136,Thabo Sefolosha,34.7,2009-10,2019-20,25-35,663,413,0,23.1,2.2,4.9,1.6,3.0,0.7,1.9,0.7,1.0,0.7,3.2,3.9,1.4,1.2,0.4,0.8,1.6,5.9,.457,.520,.355,.737,.551,.525,G-F,ATLHOUOKCUTA,sefolth01
137,Carlos Boozer,34.7,2009-10,2014-15,28-33,429,384,0,30.0,6.7,13.2,6.7,13.2,0.0,0.0,2.3,3.2,2.0,7.1,9.1,2.1,0.8,0.3,2.1,2.9,15.6,.506,.506,.000,.719,.536,.506,F-C,CHILALUTA,boozeca01
138,Brandon Bass,34.4,2009-10,2016-17,24-31,548,278,0,23.4,3.7,7.3,3.7,7.2,0.0,0.1,2.0,2.4,1.6,3.2,4.8,0.9,0.4,0.7,1.0,1.9,9.4,.503,.506,.255,.831,.559,.504,F,BOSLACLALORL,bassbr01
139,José Calderón,34.3,2009-10,2018-19,28-37,604,445,0,26.0,3.2,7.1,2.0,4.2,1.2,2.9,0.8,0.9,0.3,2.1,2.4,5.3,0.7,0.1,1.4,1.7,8.5,.458,.488,.414,.853,.566,.543,G,ATLCLEDALDETLALNYKTOR,caldejo01
140,Reggie Jackson,34.1,2011-12,2022-23,21-32,771,506,0,25.5,4.8,11.3,3.4,7.4,1.4,3.9,1.9,2.2,0.5,2.4,2.9,4.2,0.7,0.1,1.9,1.9,12.8,.423,.465,.344,.857,.522,.483,G,DENDETLACOKC,jacksre01
141,Jamal Crawford,34.1,2009-10,2019-20,29-39,730,40,0,26.8,4.9,11.7,3.2,7.1,1.6,4.7,2.8,3.2,0.3,1.5,1.8,2.8,0.8,0.2,1.7,1.4,14.2,.416,.460,.349,.878,.540,.486,G,ATLBRKLACMINPHOPOR,crawfja01
142,Vince Carter,34.0,2009-10,2019-20,33-43,764,213,0,22.4,3.4,8.4,2.0,4.5,1.4,3.9,1.5,1.8,0.5,2.6,3.1,1.8,0.7,0.4,1.0,2.2,9.8,.410,.448,.366,.802,.532,.495,G-F,ATLDALMEMORLPHOSAC,cartevi01
143,Eric Gordon,34.0,2009-10,2022-23,21-34,740,563,0,31.8,5.5,12.8,3.1,6.4,2.4,6.4,2.7,3.4,0.4,2.0,2.4,2.8,0.8,0.3,1.9,1.8,16.0,.427,.484,.369,.805,.560,.519,G-F,HOULACNOHNOP,gordoer01
144,Roy Hibbert,33.7,2009-10,2016-17,23-30,592,544,2,26.0,4.1,8.8,4.1,8.8,0.0,0.0,2.1,2.8,2.4,4.3,6.6,1.4,0.4,1.8,1.7,3.1,10.3,.464,.465,.250,.763,.514,.465,C,CHODENINDLAL,hibbero01
145,Andrew Bogut,33.6,2009-10,2018-19,25-34,444,407,0,25.7,3.8,7.0,3.8,7.0,0.0,0.0,0.8,1.5,2.3,6.3,8.6,2.0,0.6,1.8,1.5,3.0,8.3,.534,.535,.200,.515,.539,.534,C,CLEDALGSWLALMIL,bogutan01
146,Marcus Smart,33.2,2014-15,2022-23,20-28,581,360,0,30.0,3.6,9.2,2.0,4.4,1.6,4.9,1.9,2.4,0.8,2.7,3.5,4.6,1.6,0.4,1.9,2.6,10.6,.386,.456,.323,.777,.514,.471,G,BOS,smartma01
147,Kevin Garnett,33.0,2009-10,2015-16,33-39,407,407,3,26.5,4.9,9.8,4.9,9.7,0.0,0.1,1.9,2.3,1.0,6.3,7.3,2.2,1.0,0.7,1.4,2.2,11.8,.501,.505,.174,.829,.543,.502,F-C,BOSBRKMIN,garneke01
148,Trae Young,33.0,2018-19,2022-23,20-24,353,353,2,33.8,8.1,18.6,5.6,11.4,2.5,7.1,6.7,7.7,0.7,3.0,3.7,9.3,1.0,0.1,4.1,1.7,25.5,.437,.491,.351,.876,.580,.505,G,ATL,youngtr01
149,Ivica Zubac,32.8,2016-17,2022-23,19-25,436,303,0,20.7,3.5,5.8,3.5,5.8,0.0,0.0,1.7,2.4,2.4,4.7,7.1,1.1,0.3,0.9,1.1,2.4,8.8,.605,.607,.083,.741,.641,.605,C,LACLAL,zubaciv01
150,Cody Zeller,32.7,2013-14,2022-23,21-30,509,275,0,22.0,3.2,6.1,3.1,5.8,0.1,0.3,2.0,2.8,2.0,3.9,5.9,1.4,0.6,0.6,1.1,2.6,8.4,.522,.537,.218,.730,.577,.527,C-F,CHACHOMIAPOR,zelleco01
151,Ben Simmons,32.6,2017-18,2022-23,21-26,317,308,3,32.9,6.0,10.8,6.0,10.7,0.0,0.1,2.6,4.5,1.8,6.0,7.8,7.5,1.6,0.7,3.2,2.9,14.7,.560,.565,.139,.591,.578,.561,G-F,BRKPHI,simmobe01
152,Fred VanVleet,32.5,2016-17,2022-23,22-28,417,268,1,29.7,4.9,12.2,2.5,5.8,2.4,6.4,2.4,2.7,0.4,2.9,3.3,5.3,1.3,0.4,1.7,2.1,14.6,.402,.434,.373,.869,.543,.500,G,TOR,vanvlfr01
153,Kevin Martin,32.4,2009-10,2015-16,26-32,405,280,0,30.1,5.6,13.2,3.8,8.5,1.8,4.7,4.7,5.3,0.4,2.5,2.9,2.0,0.9,0.1,1.7,1.8,17.7,.426,.451,.382,.887,.571,.494,G,HOUMINOKCSACSAS,martike02
154,John Collins,32.3,2017-18,2022-23,20-25,364,313,0,29.2,6.2,11.3,5.3,8.6,1.0,2.7,2.5,3.2,2.2,5.8,8.0,1.5,0.6,1.0,1.4,3.1,15.8,.551,.611,.356,.783,.626,.593,F,ATL,collijo01
155,Jerami Grant,32.2,2014-15,2022-23,20-28,618,333,0,27.0,4.2,9.3,3.1,6.0,1.2,3.3,2.7,3.7,0.9,3.1,4.0,1.5,0.6,1.1,1.2,2.3,12.3,.456,.509,.358,.737,.566,.519,F,DENDETOKCPHIPOR,grantje01
156,Mikal Bridges,32.1,2018-19,2022-23,22-26,392,325,0,32.2,4.9,9.8,3.3,5.8,1.5,4.0,1.9,2.2,0.9,3.1,4.0,2.3,1.3,0.6,1.0,2.0,13.1,.495,.578,.376,.857,.609,.573,F-G,BRKPHO,bridgmi01
157,Kyle Anderson,32.1,2014-15,2022-23,21-29,574,294,0,21.8,2.7,5.7,2.3,4.4,0.4,1.3,1.1,1.5,0.8,3.7,4.5,2.6,1.0,0.6,1.0,1.6,7.0,.481,.521,.345,.715,.551,.520,F-G,MEMMINSAS,anderky01
158,Ray Allen,32.0,2009-10,2013-14,34-38,358,211,1,31.4,4.8,10.2,2.9,5.5,1.9,4.6,2.1,2.4,0.5,2.6,3.0,2.3,0.9,0.2,1.4,1.8,13.5,.468,.518,.408,.899,.604,.560,G,BOSMIA,allenra02
159,Patrick Patterson,31.9,2010-11,2020-21,21-31,719,104,0,20.8,2.6,5.8,1.7,3.4,0.9,2.4,0.6,0.8,1.1,2.7,3.9,1.0,0.5,0.4,0.6,1.6,6.7,.447,.501,.369,.755,.540,.522,F,HOULACOKCSACTOR,pattepa01
160,Matt Barnes,31.7,2009-10,2016-17,29-36,566,255,0,25.8,3.3,7.4,2.0,3.8,1.2,3.7,1.2,1.6,1.2,3.8,4.9,1.9,0.8,0.6,1.3,2.7,8.9,.438,.536,.336,.763,.550,.521,F,GSWLACLALMEMORLSAC,barnema02
161,J.R. Smith,31.6,2009-10,2019-20,24-34,628,272,0,29.1,4.7,11.3,2.6,5.7,2.1,5.6,1.3,1.8,0.5,3.0,3.5,2.3,1.1,0.2,1.3,2.4,12.7,.413,.454,.371,.720,.526,.505,G-F,CLEDENLALNYK,smithjr01
162,Mitchell Robinson,31.4,2018-19,2022-23,20-24,289,175,0,24.4,3.5,5.0,3.5,5.0,0.0,0.0,1.2,2.2,3.6,4.3,7.9,0.6,0.9,2.0,0.7,2.9,8.2,.712,.712,,.529,.694,.712,C,NYK,robinmi01
163,Bismack Biyombo,31.3,2011-12,2022-23,19-30,799,324,0,19.5,2.0,3.7,2.0,3.7,0.0,0.0,1.2,2.1,1.9,4.0,5.9,0.6,0.3,1.3,0.9,2.2,5.1,.533,.534,.000,.556,.553,.533,C-F,CHACHOORLPHOTOR,biyombi01
164,Deandre Ayton,30.9,2018-19,2022-23,20-24,303,296,0,30.6,7.3,12.2,7.2,12.0,0.1,0.3,2.0,2.6,3.0,7.4,10.4,1.6,0.7,1.0,1.7,2.8,16.7,.597,.604,.263,.755,.622,.599,C,PHO,aytonde01
165,Zach LaVine,30.8,2014-15,2022-23,19-27,555,468,2,32.4,7.3,15.7,5.1,9.9,2.2,5.8,3.7,4.4,0.5,3.5,4.0,3.9,0.9,0.3,2.6,2.2,20.5,.465,.512,.384,.833,.580,.535,G-F,CHIMIN,lavinza01
166,Gorgui Dieng,30.7,2013-14,2022-23,24-33,628,209,0,20.1,2.8,5.6,2.5,4.7,0.3,0.9,1.5,1.9,1.7,4.0,5.6,1.3,0.7,0.9,1.1,2.1,7.3,.496,.522,.355,.791,.572,.524,C,ATLMEMMINSAS,dienggo01
167,Luis Scola,30.6,2009-10,2016-17,29-36,579,384,0,25.0,5.0,10.3,4.8,9.9,0.2,0.5,1.9,2.5,1.7,4.7,6.4,1.7,0.6,0.3,1.5,2.7,12.1,.486,.492,.347,.749,.528,.493,F,BRKHOUINDPHOTOR,scolalu01
168,Evan Fournier,30.6,2012-13,2022-23,20-30,672,504,0,28.2,5.0,11.3,3.0,6.1,2.0,5.2,2.0,2.5,0.4,2.3,2.7,2.5,0.9,0.2,1.6,2.4,14.0,.443,.498,.379,.799,.563,.530,G-F,BOSDENNYKORL,fournev01
169,Cory Joseph,30.5,2011-12,2022-23,20-31,790,175,0,22.0,2.7,6.1,2.1,4.4,0.6,1.7,1.0,1.3,0.5,2.0,2.5,3.0,0.8,0.2,1.0,1.6,7.1,.442,.478,.350,.787,.527,.491,G,DETINDSACSASTOR,josepco01
170,Channing Frye,30.4,2009-10,2018-19,26-35,612,351,0,23.2,3.3,7.5,1.6,3.2,1.7,4.3,0.8,1.0,0.6,3.8,4.5,1.1,0.6,0.7,0.8,2.5,9.0,.433,.490,.390,.842,.566,.545,C-F,CLELALORLPHO,fryech01
171,Robert Covington,30.3,2013-14,2022-23,23-32,585,460,0,28.8,3.7,9.2,1.6,3.3,2.1,5.9,1.5,1.9,0.9,4.7,5.6,1.5,1.5,1.0,1.5,2.9,11.1,.408,.490,.362,.811,.556,.524,F-C,HOULACMINPHIPOR,covinro01
172,Josh Smith,30.1,2009-10,2017-18,24-32,518,418,0,31.8,6.0,13.3,5.4,11.2,0.6,2.1,2.3,3.9,1.8,5.7,7.5,3.5,1.2,1.6,2.4,2.6,14.9,.452,.482,.292,.590,.497,.475,F,ATLDETHOULACNOP,smithjo03
173,Malcolm Brogdon,30.0,2016-17,2022-23,24-30,400,258,0,29.5,5.7,12.2,4.1,8.0,1.6,4.2,2.4,2.7,0.8,3.4,4.2,4.6,0.8,0.2,1.7,1.9,15.4,.467,.508,.388,.879,.575,.533,G,BOSINDMIL,brogdma01
