,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
362,Terrence Jones,HOU,1,18,2012,Kentucky,2010-11,2011-12,76,69,30.4,5.0,10.8,4.5,9.1,0.6,1.7,3.4,5.3,2.5,5.5,8.0,1.5,1.2,1.8,1.8,2.4,14.0,.467,.493,.328,.638,.526,.493,F,Kentucky,terrence-jones-1
363,Perry Jones,OKC,1,28,2012,Baylor,2010-11,2011-12,63,62,32.2,5.5,10.5,5.3,9.8,0.2,0.7,2.6,3.8,2.7,4.7,7.4,1.2,0.7,0.7,2.0,2.3,13.7,.522,.539,.279,.678,.558,.531,F,Baylor,perry-jones-1
364,Kai Jones,NYK,1,19,2021,Texas,2019-20,2020-21,53,14,19.7,2.3,4.1,1.9,3.0,0.4,1.1,1.2,1.8,1.5,2.5,4.0,0.5,0.7,1.0,1.1,2.3,6.2,.553,.627,.345,.677,.618,.598,F,Texas,kai-jones-1
365,Herb Jones,NOH,2,35,2021,Alabama,2017-18,2020-21,129,101,23.8,2.6,6.0,2.4,5.1,0.3,0.9,1.8,3.0,1.6,3.3,4.9,2.2,1.3,0.8,2.1,2.9,7.3,.441,.469,.288,.604,.496,.463,F,Alabama,herb-jones-3
366,Dominique Jones,MEM,1,25,2010,South Florida,2009-10,2009-10,33,33,37.1,6.7,14.9,5.2,9.9,1.6,5.1,6.3,8.5,1.1,5.0,6.1,3.6,1.7,0.6,2.9,2.8,21.4,.450,.521,.311,.741,.562,.503,G,South Florida,dominique-jones-1
367,Damian Jones,GSW,1,30,2016,Vanderbilt,2013-14,2015-16,99,95,27.1,5.1,9.1,5.1,9.0,0.0,0.1,3.0,5.3,2.1,4.3,6.4,0.7,0.4,1.7,2.0,3.0,13.3,.566,.570,.125,.565,.573,.567,C,Vanderbilt,damian-jones-1
368,Colby Jones,CHA,2,34,2023,Xavier,2020-21,2022-23,86,82,32.7,4.5,9.2,3.7,6.6,0.9,2.5,2.4,3.6,1.8,4.4,6.2,3.6,1.4,0.5,2.1,2.2,12.3,.494,.552,.344,.679,.569,.542,G,Xavier,colby-jones-1
369,Darius Johnson-Odom,DAL,2,55,2012,Marquette,2009-10,2011-12,105,90,30.8,5.3,12.0,3.2,6.7,2.1,5.2,3.0,4.1,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7,.444,.476,.403,.722,.564,.532,G,Marquette,darius-johnson-odom-1
370,Wes Johnson,MIN,1,4,2010,Syracuse,2009-10,2009-10,35,35,35.0,5.9,11.8,4.5,8.3,1.5,3.5,3.2,4.1,2.1,6.4,8.5,2.2,1.7,1.8,2.3,2.1,16.5,.502,.540,.415,.772,.600,.564,F,Syracuse,wes-johnson-1
371,Stanley Johnson,DET,1,8,2015,Arizona,2014-15,2014-15,38,37,28.4,4.6,10.3,3.4,7.2,1.1,3.1,3.5,4.7,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,.446,.478,.371,.742,.551,.501,F,Arizona,stanley-johnson-1
372,Orlando Johnson,SAC,2,36,2012,UC Santa Barbara,2009-10,2011-12,93,92,33.0,6.5,13.9,4.5,9.1,2.0,4.8,4.7,6.3,1.7,4.1,5.8,2.7,1.0,0.6,2.6,2.1,19.6,.468,.498,.411,.736,.581,.539,G,UC Santa Barbara,orlando-johnson-1
373,Nick Johnson,HOU,2,42,2014,Arizona,2011-12,2013-14,108,101,30.9,4.1,9.7,2.8,6.0,1.3,3.7,2.8,3.9,0.6,3.1,3.7,2.8,1.3,0.6,1.8,2.0,12.3,.421,.459,.359,.734,.535,.490,G,Arizona,nick-johnson-1
374,Keyontae Johnson,OKC,2,50,2023,Kansas State,2018-19,2022-23,108,92,29.0,5.0,9.6,4.0,7.1,1.0,2.5,2.2,3.1,1.6,5.0,6.6,1.6,1.1,0.3,2.0,2.5,13.1,.519,.563,.389,.718,.593,.568,F,FloridaKansas State,keyontae-johnson-1
375,Keon Johnson,NYK,1,21,2021,Tennessee,2020-21,2020-21,27,17,25.5,4.1,9.1,3.6,7.4,0.5,1.8,2.6,3.7,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4,11.3,.449,.492,.271,.703,.519,.476,G,Tennessee,keon-johnson-2
376,Keldon Johnson,SAS,1,29,2019,Kentucky,2018-19,2018-19,37,36,30.7,4.6,10.1,3.4,6.9,1.2,3.2,2.9,4.2,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,.461,.498,.381,.703,.558,.521,G,Kentucky,keldon-johnson-1
377,Jalen Johnson,ATL,1,20,2021,Duke,2020-21,2020-21,13,8,21.4,4.4,8.4,3.8,7.0,0.6,1.4,1.8,2.9,1.5,4.5,6.1,2.2,1.2,1.2,2.5,2.2,11.2,.523,.538,.444,.632,.575,.560,F,Duke,jalen-johnson-24
378,JaJuan Johnson,NJN,1,27,2011,Purdue,2009-10,2010-11,69,67,33.3,6.5,13.0,6.3,12.2,0.2,0.8,4.7,6.2,2.4,5.5,7.8,0.9,0.9,2.2,1.7,1.8,18.0,.499,.514,.273,.762,.562,.508,F,Purdue,jajuan-johnson-1
379,David Johnson,TOR,2,47,2021,Louisville,2019-20,2020-21,46,23,23.9,3.5,7.9,2.7,5.6,0.8,2.3,1.1,1.7,1.0,3.0,4.0,2.9,0.8,0.3,2.4,2.1,8.9,.444,.482,.349,.650,.512,.494,G,Louisville,david-johnson-13
380,Dakari Johnson,OKC,2,48,2015,Kentucky,2013-14,2014-15,78,18,15.2,2.1,3.8,2.1,3.8,0.0,0.0,1.6,2.9,1.9,2.4,4.3,0.5,0.3,0.8,0.9,1.9,5.8,.537,.537,,.559,.550,.537,C,Kentucky,dakari-johnson-1
381,Cameron Johnson,MIN,1,11,2019,North Carolina,2014-15,2018-19,135,90,25.4,3.8,8.4,1.9,3.6,1.9,4.7,1.7,2.0,1.1,3.0,4.1,1.8,0.8,0.3,1.0,1.8,11.2,.457,.523,.405,.817,.601,.571,G,North CarolinaPittsburgh,cameron-johnson-4
382,Brice Johnson,LAC,1,25,2016,North Carolina,2012-13,2015-16,148,80,21.0,4.8,8.4,4.8,8.4,0.0,0.0,1.9,2.8,2.1,4.9,7.0,0.9,0.8,1.1,1.3,2.5,11.6,.575,.575,,.708,.598,.575,F,North Carolina,brice-johnson-1
383,Armon Johnson,POR,2,34,2010,Nevada,2009-10,2009-10,34,34,34.5,6.4,13.0,5.9,10.9,0.5,2.1,2.4,3.5,0.8,2.6,3.4,5.6,0.8,0.4,3.4,1.8,15.7,.495,.544,.239,.678,.537,.515,G,Nevada,armon-johnson-1
384,Alize Johnson,IND,2,50,2018,Missouri State,2016-17,2017-18,66,66,30.7,5.2,11.3,3.9,7.5,1.2,3.8,3.3,4.6,3.2,7.9,11.1,2.4,0.5,0.3,2.3,2.3,14.9,.457,.523,.325,.716,.551,.511,F,Missouri State,alize-johnson-1
385,Isaiah Joe,PHI,2,49,2020,Arkansas,2018-19,2019-20,60,59,32.7,4.7,12.0,1.2,2.8,3.5,9.1,2.4,2.9,0.6,2.8,3.4,1.7,1.5,0.2,1.5,1.9,15.2,.390,.429,.378,.827,.569,.534,G,Arkansas,isaiah-joe-1
386,Justinian Jessup,GSW,2,51,2020,Boise State,2016-17,2019-20,129,120,31.2,4.2,9.7,1.7,3.6,2.5,6.2,1.3,1.6,0.6,3.6,4.1,2.0,1.2,0.5,1.3,2.1,12.3,.432,.474,.408,.831,.584,.561,G,Boise State,justinian-jessup-1
387,Grant Jerrett,POR,2,40,2013,Arizona,2012-13,2012-13,34,2,17.8,1.9,4.5,0.9,2.2,0.9,2.3,0.5,0.6,1.1,2.5,3.6,0.5,0.5,1.0,0.6,1.3,5.2,.409,.413,.405,.818,.535,.513,F,Arizona,grant-jerrett-1
388,Ty Jerome,PHI,1,24,2019,Virginia,2016-17,2018-19,105,76,26.4,3.5,8.0,1.9,3.9,1.6,4.0,1.1,1.4,0.3,2.8,3.0,3.7,1.2,0.0,1.4,1.9,9.6,.435,.479,.392,.788,.558,.534,G,Virginia,ty-jerome-1
389,John Jenkins,ATL,1,23,2012,Vanderbilt,2009-10,2011-12,98,74,30.6,5.3,11.2,2.1,4.1,3.1,7.1,3.3,3.8,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,.468,.521,.438,.856,.648,.607,G,Vanderbilt,john-jenkins-1
390,Charles Jenkins,GSW,2,44,2011,Hofstra,2009-10,2010-11,67,67,36.8,7.2,15.1,5.3,10.5,1.9,4.6,5.2,6.4,0.8,3.1,4.0,4.4,1.8,0.6,2.7,2.3,21.6,.478,.506,.415,.814,.595,.541,G,Hofstra,charles-jenkins-1
391,Cory Jefferson,SAS,2,60,2014,Baylor,2009-10,2013-14,130,76,19.9,3.3,6.1,3.2,5.7,0.1,0.4,2.2,3.3,1.9,3.7,5.6,0.4,0.3,1.3,0.8,1.7,8.9,.543,.556,.340,.660,.582,.554,F,Baylor,cory-jefferson-1
392,Jaime Jaquez Jr.,MIA,1,18,2023,UCLA,2019-20,2022-23,134,126,31.4,5.0,10.6,4.2,8.0,0.9,2.6,2.5,3.4,2.0,4.3,6.3,2.0,1.3,0.5,1.5,2.0,13.4,.475,.524,.328,.737,.550,.516,G,UCLA,jaime-jaquezjr-1
393,Justin James,SAC,2,40,2019,Wyoming,2015-16,2018-19,131,73,28.1,5.3,11.9,4.1,8.4,1.2,3.6,4.0,5.4,0.8,4.6,5.4,2.6,0.9,0.5,2.5,2.2,15.7,.442,.487,.337,.731,.542,.493,G,Wyoming,justin-james-2
394,Damion James,ATL,1,24,2010,Texas,2009-10,2009-10,34,34,30.3,6.2,12.3,5.1,9.6,1.1,2.8,4.6,6.8,3.1,7.1,10.3,1.0,1.7,1.2,2.0,2.9,18.0,.501,.535,.383,.674,.578,.544,F,Texas,damion-james-1
395,Bernard James,CLE,2,33,2012,Florida State,2010-11,2011-12,69,57,24.6,4.0,6.3,4.0,6.3,0.0,0.0,1.8,3.4,2.6,4.4,7.0,0.3,0.8,2.4,1.8,1.8,9.7,.627,.627,,.528,.613,.627,F,Florida State,bernard-james--1
396,Trayce Jackson-Davis,WAS,2,57,2023,Indiana,2019-20,2022-23,126,126,32.5,6.7,11.9,6.7,11.9,0.0,0.0,4.4,6.5,2.8,6.3,9.1,2.2,0.7,2.1,1.9,1.9,17.9,.565,.566,.000,.676,.596,.565,F,Indiana,trayce-jackson-davis-1
397,Reggie Jackson,OKC,1,24,2011,Boston College,2009-10,2010-11,65,52,32.2,5.6,11.9,4.0,7.6,1.6,4.3,2.9,3.7,1.4,3.5,5.0,4.5,0.8,0.5,2.5,1.8,15.6,.472,.529,.369,.769,.573,.538,G,Boston College,reggie-jackson-1
398,Pierre Jackson,PHI,2,42,2013,Baylor,2011-12,2012-13,74,55,32.8,5.3,11.9,3.1,6.4,2.1,5.6,4.0,5.0,0.8,2.5,3.3,6.5,1.6,0.0,3.5,2.3,16.7,.441,.496,.379,.808,.583,.530,G,Baylor,pierre-jackson-1
399,Justin Jackson,POR,1,15,2017,North Carolina,2014-15,2016-17,118,114,29.1,5.2,11.4,3.8,7.2,1.4,4.2,1.9,2.7,1.5,2.5,4.1,2.7,0.6,0.4,1.4,1.5,13.8,.459,.529,.339,.713,.545,.521,F,North Carolina,justin-jackson-4
400,Justin Jackson,DEN,2,43,2018,Maryland,2016-17,2017-18,44,40,28.2,3.5,8.4,2.2,5.1,1.3,3.3,2.1,2.8,1.9,4.6,6.5,1.2,0.9,0.8,2.0,2.0,10.3,.418,.439,.386,.728,.532,.495,F,Maryland,justin-jackson-5
401,Josh Jackson,PHO,1,4,2017,Kansas,2016-17,2016-17,35,35,30.8,6.3,12.3,5.3,9.7,1.0,2.6,2.8,4.9,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,.513,.549,.378,.566,.559,.552,G,Kansas,josh-jackson-2
402,Jaren Jackson Jr.,MEM,1,4,2018,Michigan State,2017-18,2017-18,35,34,21.8,3.4,6.6,2.3,3.9,1.1,2.7,3.0,3.8,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,.513,.596,.396,.797,.647,.595,F,Michigan State,jaren-jacksonjr-1
403,Isaiah Jackson,LAL,1,22,2021,Kentucky,2020-21,2020-21,25,18,20.8,3.0,5.5,3.0,5.4,0.0,0.1,2.5,3.6,2.1,4.5,6.6,0.7,0.8,2.6,1.5,3.0,8.4,.540,.548,.000,.700,.587,.540,F,Kentucky,isaiah-jackson-3
404,GG Jackson II,MEM,2,45,2023,South Carolina,2022-23,2022-23,32,29,31.9,5.5,14.4,3.8,9.1,1.7,5.3,2.6,3.9,1.5,4.4,5.9,0.8,0.8,0.8,2.7,1.5,15.4,.384,.419,.324,.677,.474,.444,F,South Carolina,gregory-jackson-ii-1
405,Frank Jackson,CHA,2,31,2017,Duke,2016-17,2016-17,36,16,24.9,3.7,7.8,2.3,4.2,1.4,3.6,2.1,2.8,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,.473,.539,.395,.755,.598,.564,G,Duke,frank-jackson-2
406,Demetrius Jackson,BOS,2,45,2016,Notre Dame,2013-14,2015-16,103,88,31.5,4.0,8.6,2.7,5.2,1.3,3.4,2.3,3.0,0.9,2.3,3.1,3.3,1.1,0.2,1.7,1.9,11.7,.467,.523,.381,.782,.582,.542,G,Notre Dame,demetrius-jackson-2
407,Andre Jackson Jr.,ORL,2,36,2023,Connecticut,2020-21,2022-23,85,65,26.7,2.2,5.1,1.6,3.2,0.6,2.0,1.0,1.4,1.4,4.4,5.8,3.5,1.0,0.5,1.8,2.7,6.0,.428,.511,.293,.702,.514,.484,G,Connecticut,andre-jackson-8
408,Wesley Iwundu,ORL,2,33,2017,Kansas State,2013-14,2016-17,132,123,28.2,3.2,6.9,2.8,5.8,0.4,1.1,2.6,3.8,1.2,3.5,4.7,2.8,0.9,0.4,2.1,2.1,9.5,.463,.488,.338,.688,.540,.491,F,Kansas State,wesley-iwundu-1
409,Jaden Ivey,DET,1,5,2022,Purdue,2020-21,2021-22,59,46,28.6,4.9,11.3,3.4,6.6,1.5,4.7,3.5,4.7,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,.440,.523,.322,.739,.552,.507,G,Purdue,jaden-ivey-1
410,Colton Iverson,IND,2,53,2013,Colorado State,2009-10,2012-13,101,50,21.7,3.1,5.7,3.1,5.7,0.0,0.0,2.2,3.8,2.3,4.2,6.4,1.0,0.5,0.8,1.6,2.3,8.3,.535,.535,,.574,.551,.535,F,Colorado StateMinnesota,colton-iverson-1
411,Jonathan Isaac,ORL,1,6,2017,Florida State,2016-17,2016-17,32,32,26.2,4.1,8.0,3.1,5.2,1.0,2.8,2.9,3.7,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,.508,.593,.348,.780,.614,.568,F,Florida State,jonathan-isaac-1
412,Kyrie Irving,CLE,1,1,2011,Duke,2010-11,2010-11,11,8,27.5,5.0,9.5,3.4,5.9,1.6,3.5,5.8,6.5,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,.529,.569,.462,.901,.697,.615,G,Duke,kyrie-irving-1
413,Brandon Ingram,LAL,1,2,2016,Duke,2015-16,2015-16,36,34,34.6,5.9,13.4,3.7,8.0,2.2,5.4,3.2,4.7,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,.442,.464,.410,.682,.552,.525,G,Duke,brandon-ingram-1
414,Nah'Shon Hyland,DEN,1,26,2021,VCU,2019-20,2020-21,55,33,25.5,4.6,10.4,2.2,4.4,2.4,6.0,2.0,2.4,0.3,3.0,3.3,1.9,1.3,0.3,2.0,2.3,13.6,.441,.500,.399,.827,.588,.557,G,VCU,nahshon-hyland-1
415,Chandler Hutchison,CHI,1,22,2018,Boise State,2014-15,2017-18,123,89,24.0,4.3,8.9,3.6,7.1,0.6,1.8,2.9,4.2,1.1,4.3,5.5,2.1,1.0,0.2,1.9,2.2,12.0,.476,.508,.353,.687,.551,.512,G,Boise State,chandler-hutchison-1
416,R.J. Hunter,BOS,1,28,2015,Georgia State,2012-13,2014-15,99,98,34.7,5.6,13.3,3.1,6.1,2.6,7.2,4.5,5.3,0.7,4.1,4.8,2.4,1.9,0.9,1.7,2.2,18.4,.423,.505,.354,.853,.579,.519,G,Georgia State,rj-hunter-1
417,De'Andre Hunter,LAL,1,4,2019,Virginia,2017-18,2018-19,71,38,26.6,4.4,8.5,3.4,6.3,0.9,2.3,2.8,3.6,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,.509,.541,.419,.773,.606,.564,G,Virginia,deandre-hunter-1
418,Robbie Hummel,MIN,2,58,2012,Purdue,2009-10,2011-12,62,62,31.4,5.3,12.3,3.5,7.3,1.9,4.9,3.6,4.2,1.6,5.5,7.1,2.0,0.8,1.1,1.0,2.1,16.1,.432,.470,.376,.861,.563,.508,F,Purdue,robbie-hummel-1
419,Elijah Hughes,NOH,2,39,2020,Syracuse,2016-17,2019-20,91,73,30.7,4.5,11.0,2.4,4.9,2.1,6.1,2.8,3.7,0.5,3.5,4.0,2.1,1.0,0.7,1.8,1.9,13.9,.411,.497,.342,.763,.547,.506,F,East CarolinaSyracuse,elijah-hughes-1
420,Josh Huestis,OKC,1,29,2014,Stanford,2010-11,2013-14,135,75,25.0,2.9,6.4,2.4,4.9,0.5,1.5,1.3,2.1,2.2,4.0,6.2,0.8,0.5,1.4,0.9,1.7,7.5,.451,.492,.319,.610,.509,.489,F,Stanford,josh-huestis-1
421,Kevin Huerter,ATL,1,19,2018,Maryland,2016-17,2017-18,65,65,31.9,4.2,9.0,2.1,3.6,2.1,5.4,1.5,2.0,0.8,4.2,5.0,3.0,0.8,0.7,1.9,2.1,12.0,.466,.572,.394,.748,.603,.584,G,Maryland,kevin-huerter-1
422,Jett Howard,ORL,1,11,2023,Michigan,2022-23,2022-23,29,29,31.8,4.7,11.4,2.0,4.1,2.7,7.3,2.1,2.6,0.3,2.6,2.8,2.0,0.4,0.7,1.3,2.2,14.2,.414,.496,.368,.800,.562,.532,G,Michigan,jett-howard-1
423,Caleb Houstan,ORL,2,32,2022,Michigan,2021-22,2021-22,34,34,32.0,3.2,8.4,1.4,3.4,1.8,5.0,1.9,2.4,0.8,3.2,4.0,1.4,0.7,0.2,1.5,1.7,10.1,.384,.426,.355,.783,.530,.489,G,Michigan,caleb-houstan-1
424,Talen Horton-Tucker,ORL,2,46,2019,Iowa State,2018-19,2018-19,35,34,27.2,4.4,10.9,3.0,6.4,1.4,4.5,1.6,2.5,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,.406,.475,.308,.625,.488,.470,G,Iowa State,talen-horton-tucker-1
425,Jalen Hood-Schifino,LAL,1,17,2023,Indiana,2022-23,2022-23,32,32,33.1,5.3,12.6,4.1,9.1,1.2,3.5,1.8,2.4,0.4,3.7,4.1,3.7,0.8,0.3,2.8,2.4,13.5,.417,.449,.333,.776,.492,.463,G,Indiana,jalen-hood-schifino-1
426,Rodney Hood,UTA,1,23,2014,Duke,2011-12,2013-14,67,62,32.8,4.7,10.4,3.0,6.0,1.8,4.4,2.0,2.6,0.9,3.4,4.3,2.1,0.6,0.3,1.3,2.0,13.3,.455,.499,.396,.773,.569,.539,F,DukeMississippi State,rodney-hood-1
427,Tyler Honeycutt,SAC,2,35,2011,UCLA,2009-10,2010-11,59,51,31.7,3.6,8.4,2.5,5.3,1.1,3.1,2.0,2.9,1.7,5.2,6.9,2.8,1.2,1.7,2.8,1.9,10.3,.431,.473,.359,.684,.528,.497,F,UCLA,tyler-honeycutt-1
428,Chet Holmgren,OKC,1,2,2022,Gonzaga,2021-22,2021-22,32,31,26.9,5.3,8.8,4.0,5.5,1.3,3.3,2.2,3.1,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,.607,.737,.390,.717,.691,.680,C,Gonzaga,chet-holmgren-1
429,Richaun Holmes,PHI,2,37,2015,Bowling Green,2012-13,2014-15,95,63,26.5,4.2,7.7,3.9,6.8,0.3,0.9,2.7,3.8,2.6,4.2,6.9,0.7,0.8,2.6,1.5,2.5,11.5,.554,.580,.353,.697,.605,.574,F,Bowling Green,richaun-holmes-1
430,Rondae Hollis-Jefferson,POR,1,23,2015,Arizona,2013-14,2014-15,76,31,27.0,3.4,6.9,3.3,6.4,0.1,0.5,3.3,4.7,2.1,4.1,6.3,1.5,0.9,0.9,1.4,2.4,10.2,.496,.520,.205,.697,.560,.504,F,Arizona,rondae-hollis-jefferson-1
431,Aaron Holiday,IND,1,23,2018,UCLA,2015-16,2017-18,101,65,31.8,4.7,10.5,2.9,6.2,1.8,4.2,3.1,3.9,0.5,2.7,3.2,4.7,1.2,0.2,3.0,2.7,14.3,.450,.469,.422,.795,.580,.535,G,UCLA,aaron-holiday-1
432,Darington Hobson,MIL,2,37,2010,New Mexico,2009-10,2009-10,35,35,33.6,5.5,12.5,4.4,9.5,1.1,3.1,3.7,5.7,2.1,7.1,9.3,4.6,1.3,0.4,3.0,1.9,15.9,.440,.465,.361,.653,.520,.484,F,New Mexico,darington-hobson-1
433,Darrun Hilliard,DET,2,38,2015,Villanova,2011-12,2014-15,132,112,26.8,3.7,8.5,2.1,4.2,1.6,4.3,2.4,3.2,0.5,2.5,3.0,1.9,1.3,0.4,1.6,2.1,11.4,.436,.507,.367,.748,.569,.529,G,Villanova,darrun-hilliard-1
434,Solomon Hill,IND,1,23,2013,Arizona,2009-10,2012-13,139,129,29.0,3.5,7.3,2.7,5.1,0.8,2.2,2.5,3.3,1.8,3.8,5.6,2.2,0.9,0.4,2.1,2.4,10.3,.481,.528,.375,.745,.582,.538,F,Arizona,solomon-hill-1
435,Buddy Hield,NOH,1,6,2016,Oklahoma,2012-13,2015-16,132,118,31.7,5.9,13.2,3.3,6.5,2.6,6.8,2.8,3.4,1.6,3.4,5.0,1.9,1.3,0.3,2.2,2.0,17.4,.448,.508,.390,.836,.584,.548,G,Oklahoma,buddy-hield-1
436,Kevin Hervey,OKC,2,57,2018,UT Arlington,2014-15,2017-18,115,84,27.7,5.5,12.5,3.7,7.0,1.8,5.5,2.8,3.6,1.9,6.1,8.0,1.9,1.0,0.5,2.1,1.9,15.5,.440,.530,.324,.768,.547,.511,F,UT Arlington,kevin-hervey-1
437,Tyler Herro,MIA,1,13,2019,Kentucky,2018-19,2018-19,37,37,32.6,5.0,10.9,3.4,6.3,1.6,4.6,2.4,2.5,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,.462,.538,.355,.935,.580,.536,G,Kentucky,tyler-herro-1
438,Dewan Hernandez,TOR,2,59,2019,Miami (FL),2016-17,2017-18,64,47,21.6,3.5,6.3,3.5,6.2,0.0,0.1,1.6,2.4,1.7,3.2,4.9,0.3,0.5,0.9,1.2,1.9,8.6,.560,.567,.000,.675,.583,.560,F,Miami (FL),dewan-huell-1
439,John Henson,MIL,1,14,2012,North Carolina,2009-10,2011-12,109,82,23.8,4.4,8.8,4.3,8.5,0.0,0.2,1.6,3.2,2.5,5.7,8.1,1.0,0.6,2.5,1.5,1.5,10.3,.497,.505,.208,.484,.501,.500,F,North Carolina,john-henson-1
440,Xavier Henry,MEM,1,12,2010,Kansas,2009-10,2009-10,36,36,27.5,4.5,9.8,2.6,5.3,1.9,4.6,2.5,3.2,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,.458,.492,.418,.783,.591,.555,G,Kansas,xavier-henry-1
441,Taylor Hendricks,UTA,1,9,2023,UCF,2022-23,2022-23,34,34,34.7,5.4,11.3,3.6,6.8,1.8,4.6,2.5,3.2,2.4,4.6,7.0,1.4,0.9,1.7,1.4,2.0,15.1,.478,.535,.394,.782,.589,.557,F,UCF,taylor-hendricks-1
442,Lazar Hayward,WAS,1,30,2010,Marquette,2009-10,2009-10,34,34,32.3,6.5,15.1,4.6,9.6,1.9,5.5,3.1,3.7,2.1,5.4,7.5,1.5,1.9,0.5,2.0,3.4,18.1,.432,.479,.349,.843,.536,.495,F,Marquette,lazar-hayward-1
443,Gordon Hayward,UTA,1,9,2010,Butler,2009-10,2009-10,37,37,33.5,4.7,10.1,3.4,5.8,1.3,4.3,4.8,5.8,1.9,6.3,8.2,1.7,1.1,0.8,2.3,2.1,15.5,.464,.592,.294,.829,.601,.527,F,Butler,gordon-hayward-1
444,Jaxson Hayes,ATL,1,8,2019,Texas,2018-19,2018-19,32,21,23.3,3.8,5.3,3.8,5.3,0.0,0.0,2.3,3.1,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,.728,.728,,.740,.739,.728,F,Texas,jaxson-hayes-1
445,Jordan Hawkins,NOH,1,14,2023,Connecticut,2021-22,2022-23,64,41,23.2,3.6,9.1,1.5,3.5,2.1,5.7,2.5,2.8,0.8,2.3,3.0,1.0,0.5,0.4,1.2,1.7,11.8,.396,.428,.376,.872,.564,.512,G,Connecticut,jordan-hawkins-1
446,Tyler Harvey,ORL,2,51,2015,Eastern Washington,2012-13,2014-15,84,67,31.4,5.9,12.7,2.8,5.5,3.1,7.2,3.8,4.4,0.6,2.9,3.5,2.3,1.0,0.2,1.8,1.9,18.6,.463,.504,.432,.847,.629,.585,G,Eastern Washington,tyler-harvey-1
447,Josh Hart,UTA,1,30,2017,Villanova,2013-14,2016-17,146,77,28.0,4.6,9.1,3.2,5.4,1.4,3.6,2.5,3.4,1.7,3.8,5.6,1.8,1.1,0.3,1.3,2.2,13.2,.511,.592,.389,.720,.614,.589,G,Villanova,josh-hart-1
448,Andrew Harrison,PHO,2,44,2015,Kentucky,2013-14,2014-15,79,78,28.6,2.8,7.6,1.9,5.2,0.9,2.4,3.6,4.6,0.6,2.1,2.7,3.8,0.8,0.2,2.2,2.4,10.1,.372,.374,.367,.777,.517,.430,G,Kentucky,andrew-harrison-1
449,Tobias Harris,CHA,1,19,2011,Tennessee,2010-11,2010-11,34,33,29.2,5.4,11.8,4.8,9.6,0.7,2.2,3.8,5.0,2.0,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,.460,.497,.303,.753,.540,.489,F,Tennessee,tobias-harris-1
450,Jalen Harris,TOR,2,59,2020,Nevada,2016-17,2019-20,68,43,27.7,5.6,12.5,4.0,7.9,1.7,4.6,3.4,4.1,0.8,4.0,4.8,2.7,1.0,0.2,2.1,1.9,16.4,.451,.505,.359,.838,.566,.517,G,Louisiana TechNevada,jalen-harris-2
451,Gary Harris,CHI,1,19,2014,Michigan State,2012-13,2013-14,69,67,31.0,5.0,11.4,2.9,5.7,2.1,5.6,2.7,3.5,1.0,2.3,3.3,2.0,1.6,0.3,1.6,2.0,14.9,.440,.503,.376,.788,.571,.533,G,Michigan State,gary-harris-1
452,Joe Harris,CLE,2,33,2014,Virginia,2010-11,2013-14,135,128,30.3,4.2,9.5,2.3,4.7,1.9,4.8,2.2,3.1,0.9,2.9,3.8,1.9,0.9,0.4,1.6,2.3,12.6,.445,.484,.407,.722,.577,.548,G,Virginia,joe-harris--1
453,Josh Harrellson,NOH,2,45,2011,Kentucky,2009-10,2010-11,60,38,19.5,2.3,3.9,2.3,3.7,0.1,0.2,0.6,1.0,2.5,3.5,5.9,0.5,0.6,1.1,0.6,1.7,5.3,.594,.614,.286,.603,.606,.603,F,Kentucky,josh-harrellson-1
